,,,,,,,,,,,,,
POZO,PEGDA (%),PVA (%),LAP (%),Agua (%),Young Modulus (Kpa),Error Absoluto,Error Relativo (%),Tiempo Sumergido (min),Ratio PVA/PEGDA,Ratio LAP/PEGDA,Ratio Polimero/Agua,DIA ESTUDIO,Altura (mm)
A1,28,1,0.05,70.95,1440.017,19.355,1.34,35,0.036,0.002,0.409,3,5.34
A2,13,2,0.17,84.83,101.433,8.558,8.44,42,0.154,0.013,0.177,3,4.92
A3,27,1,0.07,71.93,1026.759,39.157,3.81,49,0.037,0.003,0.389,3,5.44
A4,8,3,0.19,88.81,ERROR,,,56,0.375,0.024,0.124,3,3.96
A5,18,6,0.05,75.95,16.651,11.239,67.50,63,0.333,0.003,0.316,3,4.98
A6,24,4,0.1,71.9,366.886,13.523,3.69,70,0.167,0.004,0.389,3,5.32
A7,22,2,0.2,75.8,861.457,21.852,2.54,77,0.091,0.009,0.317,3,5.4
A8,10,1,0.19,88.81,79.843,6.661,8.34,84,0.100,0.019,0.124,3,4.96
A9,13,4,0.09,82.91,6.173,0.771,12.49,91,0.308,0.007,0.205,3,4.48
A10,16,4,0.12,79.88,8.305,3.599,43.34,98,0.250,0.008,0.250,3,4.92
A11,17,2,0.18,80.82,240.279,9.745,4.06,105,0.118,0.011,0.235,3,5.3
A12,8,3,0.19,88.81,ERROR,,,112,0.375,0.024,0.124,3,3.96
B1,26,1,0.12,72.88,1112.786,19.166,1.72,119,0.038,0.005,0.370,3,5.24
B2,26,1,0.12,72.88,1168.856,39.037,3.34,126,0.038,0.005,0.370,3,5.32
B3,22,2,0.2,75.8,804.664,23.939,2.98,133,0.091,0.009,0.317,3,5.2
B4,20,3,0.19,76.81,768.805,19.163,2.49,140,0.150,0.010,0.299,3,5.56
B5,18,0,0.15,81.85,557.783,17.528,3.14,147,0.000,0.008,0.220,3,5.08
B6,16,1,0.1,82.9,493.726,11.661,2.36,154,0.063,0.006,0.205,3,5.18
B7,24,2,0.18,73.82,907.422,18.262,2.01,161,0.083,0.008,0.352,3,5.34
B8,21,5,0.08,73.92,365.318,11.68,3.20,168,0.238,0.004,0.352,3,5.42
B9,20,3,0.19,76.81,702.632,20.288,2.89,175,0.150,0.010,0.299,3,5.72
B10,11,2,0.08,86.92,31.766,5.91,18.60,182,0.182,0.007,0.150,3,4.88
B11,13,2,0.17,84.83,62.343,7.789,12.49,189,0.154,0.013,0.177,3,5.1
B12,16,4,0.17,79.83,86.281,8.428,9.77,196,0.250,0.011,0.251,3,5.36
C1,14,1,0.14,84.86,285.681,9.573,3.35,203,0.071,0.010,0.177,3,4.88
C2,15,2,0.13,82.87,137.788,9.247,6.71,210,0.133,0.009,0.205,3,4.94
C3,15,2,0.12,82.88,109.062,7.862,7.21,217,0.133,0.008,0.205,3,4.96
C4,16,1,0.1,82.9,459.793,12.176,2.65,224,0.063,0.006,0.205,3,5.12
C5,28,1,0.05,70.95,1292.948,44.438,3.44,231,0.036,0.002,0.409,3,5.22
C6,16,4,0.17,79.83,138.794,10.03,7.23,238,0.250,0.011,0.251,3,5.2
C7,13,4,0.09,82.91,6.85,1.094,15.97,245,0.308,0.007,0.205,3,4.58
C8,15,2,0.13,82.87,194.583,8.938,4.59,252,0.133,0.009,0.205,3,5.26
C9,24,4,0.1,71.9,220.152,9.837,4.47,259,0.167,0.004,0.389,3,5.2
C10,17,2,0.18,80.82,213.747,10.172,4.76,266,0.118,0.011,0.235,3,5.36
C11,12,2,0.12,85.88,55.823,7.115,12.75,273,0.167,0.010,0.163,3,5.08
C12,14,1,0.14,84.86,244.394,9.276,3.80,280,0.071,0.010,0.177,3,5.34
D1,20,3,0.19,76.81,793.307,22.75,2.87,287,0.150,0.010,0.299,3,5.34
D2,9,4,0.11,86.89,ERROR,,,294,0.444,0.012,0.150,3,
D3,21,5,0.08,73.92,241.533,8.964,3.71,301,0.238,0.004,0.352,3,5.26
D4,24,4,0.1,71.9,205.73,11.822,5.75,308,0.167,0.004,0.389,3,5.2
D5,9,4,0.11,86.89,ERROR,,,315,0.444,0.012,0.150,3,
D6,21,5,0.08,73.92,226.543,11.147,4.92,322,0.238,0.004,0.352,3,5.24
D7,16,4,0.17,79.83,101.588,9.105,8.96,329,0.250,0.011,0.251,3,5.36
D8,12,2,0.12,85.88,52.154,7.613,14.60,336,0.167,0.010,0.163,3,5
D9,19,6,0.06,74.94,91.715,8.19,8.93,343,0.316,0.003,0.334,3,5.26
D10,17,2,0.18,80.82,269.95,11.14,4.13,350,0.118,0.011,0.235,3,5.3
D11,21,1,0.15,77.85,745.856,21.637,2.90,357,0.048,0.007,0.283,3,5.28
D12,22,2,0.2,75.8,511.2,11.846,2.32,364,0.091,0.009,0.317,3,5.38
E1,15,2,0.13,82.87,130.261,11.517,8.84,371,0.133,0.009,0.205,3,4.8
E2,24,2,0.18,73.82,831.604,12.76,1.53,378,0.083,0.008,0.352,3,5.2
E3,13,2,0.17,84.83,59.097,7.875,13.33,385,0.154,0.013,0.177,3,4.82
E4,17,4,0.17,78.83,86.629,8.406,9.70,392,0.235,0.010,0.266,3,5.28
E5,13,2,0.17,84.83,65.289,6.947,10.64,399,0.154,0.013,0.177,3,4.86
E6,17,6,0.11,76.89,36.521,7.712,21.12,406,0.353,0.006,0.299,3,5.02
E7,20,7,0.16,72.84,56.726,6.42,11.32,413,0.350,0.008,0.371,3,5.36
E8,17,4,0.17,78.83,73.475,9.478,12.90,420,0.235,0.010,0.266,3,5.42
E9,12,2,0.07,85.93,47.085,6.766,14.37,427,0.167,0.006,0.163,3,4.72
E10,15,4,0.13,80.87,3.045,1.963,64.47,434,0.267,0.009,0.235,3,4.74
E11,19,6,0.06,74.94,1.381,2.189,158.51,441,0.316,0.003,0.334,3,5.32
E12,18,6,0.05,75.95,37.272,7.974,21.39,448,0.333,0.003,0.316,3,5.32
F1,15,4,0.13,80.87,2.765,4.012,145.10,455,0.267,0.009,0.235,3,4.56
F2,26,1,0.12,72.88,1186.828,34.691,2.92,462,0.038,0.005,0.370,3,5.16
F3,14,1,0.14,84.86,231.811,10.818,4.67,469,0.071,0.010,0.177,3,4.92
F4,21,1,0.15,77.85,774.531,25.386,3.28,476,0.048,0.007,0.283,3,5.14
F5,18,0,0.15,81.85,485.198,8.528,1.76,483,0.000,0.008,0.220,3,5.12
F6,24,2,0.18,73.82,627.633,12.743,2.03,490,0.083,0.008,0.352,3,5.28
F7,12,2,0.07,85.93,45.714,5.904,12.92,497,0.167,0.006,0.163,3,4.6
F8,10,1,0.19,88.81,48.028,8.335,17.35,504,0.100,0.019,0.124,3,4.78
F9,20,7,0.16,72.84,60.976,7.44,12.20,511,0.350,0.008,0.371,3,5.32
F10,19,6,0.06,74.94,91.381,7.261,7.95,518,0.316,0.003,0.334,3,5.36
